mature_mirna_id,target_symbol,databases,n_evidence,known_fibrosis_family
hsa-miR-20b-5p,THY1,tarbase,1,NA
hsa-miR-21-5p,LUM,tarbase,1,miR-21
hsa-miR-21-5p,THBS2,tarbase,1,miR-21
hsa-miR-210-3p,THBS2,tarbase,1,NA
hsa-miR-210-3p,THY1,tarbase,1,NA
hsa-miR-214-3p,THBS2,tarbase,1,miR-214
hsa-miR-218-5p,THY1,tarbase,1,NA
hsa-miR-22-5p,THBS2,tarbase,1,NA
hsa-miR-22-5p,THY1,tarbase,1,NA
hsa-miR-221-3p,THBS2,tarbase,1,NA
hsa-miR-222-3p,THBS2,tarbase,1,NA
hsa-miR-2278,THY1,tarbase,1,NA
hsa-miR-23a-3p,LUM,tarbase,1,NA
hsa-miR-23a-3p,THBS2,tarbase,1,NA
hsa-miR-23a-3p,THY1,tarbase,1,NA
hsa-miR-23b-3p,LUM,tarbase,1,NA
hsa-miR-23b-3p,THY1,tarbase,1,NA
hsa-miR-24-3p,LUM,tarbase,1,NA
hsa-miR-24-3p,THY1,tarbase,1,NA
hsa-miR-2682-5p,THBS2,tarbase,1,NA
hsa-miR-26a-5p,LUM,tarbase,1,NA
hsa-miR-26a-5p,THBS2,tarbase,1,NA
hsa-miR-26b-5p,LUM,tarbase,1,NA
hsa-miR-27a-3p,THBS2,tarbase,1,NA
hsa-miR-27a-3p,THY1,tarbase,1,NA
hsa-miR-27b-3p,THBS2,mirtarbase;tarbase,3,NA
hsa-miR-299-3p,THBS2,mirtarbase,2,NA
hsa-miR-29a-3p,LUM,tarbase,1,miR-29
hsa-miR-29a-3p,THY1,tarbase,1,miR-29
hsa-miR-29b-2-5p,THBS2,tarbase,1,NA
hsa-miR-29b-3p,LUM,tarbase,1,miR-29
hsa-miR-29b-3p,THBS2,mirtarbase;tarbase,2,miR-29
hsa-miR-29b-3p,THY1,tarbase,1,miR-29
hsa-miR-29c-3p,LUM,tarbase,1,miR-29
hsa-miR-29c-3p,THY1,tarbase,1,miR-29
hsa-miR-302a-3p,THBS2,tarbase,1,NA
hsa-miR-30a-5p,THBS2,tarbase,1,NA
hsa-miR-30d-3p,LUM,tarbase,1,NA
hsa-miR-30d-5p,THBS2,tarbase,1,NA
hsa-miR-3127-3p,THBS2,mirtarbase,2,NA
hsa-miR-3135b,THY1,mirtarbase,1,NA
hsa-miR-3149,THBS2,tarbase,1,NA
hsa-miR-3170,THBS2,mirtarbase,2,NA
hsa-miR-3183,THBS2,mirtarbase,2,NA
