"gene","cell_type","condition","pct_expressing","avg_expr","n_cells"
"EPCAM","Mast cell","cirrhotic",3.2967032967033,0.0386254083744607,91
"EPCAM","Mast cell","healthy",0,0,107
"EPCAM","Mesenchyme","cirrhotic",2.09698558322412,0.0222834635442068,763
"EPCAM","Mesenchyme","healthy",2.11970074812968,0.0281056285253075,1604
"EPCAM","Plasma cell","cirrhotic",3.97489539748954,0.0165580499466862,478
"EPCAM","Plasma cell","healthy",1.23152709359606,0.00662890484393671,406
"EPCAM","T cell","cirrhotic",0.858915221886432,0.0114765049284085,6287
"EPCAM","T cell","healthy",0.113036925395629,0.0019136734568728,10616
"EPCAM","pDC","cirrhotic",1.05820105820106,0.00787927792156423,189
"EPCAM","pDC","healthy",0,0,143
"LUM","B cell","cirrhotic",0.330305532617671,0.0042597507496466,1211
"LUM","B cell","healthy",0,0,739
"LUM","Cholangiocyte","cirrhotic",1.01997450063748,0.0105221162156096,2353
"LUM","Cholangiocyte","healthy",1.49384885764499,0.0170909147725887,1138
"LUM","Cycling","cirrhotic",0.50251256281407,0.00316970967791077,398
"LUM","Cycling","healthy",0.200803212851406,0.00169409107589892,498
"LUM","Endothelia","cirrhotic",1.76742317734485,0.0177485120748417,4979
"LUM","Endothelia","healthy",0.606641123882503,0.00730545074454321,3132
"LUM","Hepatocyte","cirrhotic",1.52671755725191,0.0157350798474024,262
"LUM","Hepatocyte","healthy",10.2040816326531,0.0855922621360337,49
"LUM","ILC","cirrhotic",0.504934588019279,0.00708572769222468,4357
"LUM","ILC","healthy",0.0293484640970456,0.00050810453172282,10222
"LUM","MP","cirrhotic",1.40530894490297,0.0120778947224649,4483
"LUM","MP","healthy",0.14018691588785,0.00182777881861046,6420
"LUM","Mast cell","cirrhotic",0,0,91
"LUM","Mast cell","healthy",0,0,107
"LUM","Mesenchyme","cirrhotic",34.3381389252949,0.87653867878303,763
"LUM","Mesenchyme","healthy",5.11221945137157,0.142515872893082,1604
"LUM","Plasma cell","cirrhotic",1.46443514644351,0.00430510104951931,478
"LUM","Plasma cell","healthy",2.46305418719212,0.00695741673502838,406
"LUM","T cell","cirrhotic",0.349928423731509,0.00438544211924135,6287
"LUM","T cell","healthy",0.0659382064807837,0.00110053623356535,10616
"LUM","pDC","cirrhotic",0,0,189
"LUM","pDC","healthy",0,0,143
"THBS2","B cell","cirrhotic",0,0,1211
"THBS2","B cell","healthy",0,0,739
"THBS2","Cholangiocyte","cirrhotic",0.0849978750531237,0.000720382424966869,2353
"THBS2","Cholangiocyte","healthy",0,0,1138
"THBS2","Cycling","cirrhotic",0.50251256281407,0.00419857980441987,398
"THBS2","Cycling","healthy",0,0,498
"THBS2","Endothelia","cirrhotic",0.200843542880096,0.00155193137362002,4979
"THBS2","Endothelia","healthy",0.0638569604086845,0.000455035088528169,3132
"THBS2","Hepatocyte","cirrhotic",0.381679389312977,0.00134791332305188,262
"THBS2","Hepatocyte","healthy",0,0,49
"THBS2","ILC","cirrhotic",0.045903144365389,0.000619622837494546,4357
"THBS2","ILC","healthy",0,0,10222
"THBS2","MP","cirrhotic",0.133838947133616,0.000946195954269548,4483
"THBS2","MP","healthy",0.0155763239875389,0.000108625204767444,6420
"THBS2","Mast cell","cirrhotic",0,0,91
"THBS2","Mast cell","healthy",0,0,107
"THBS2","Mesenchyme","cirrhotic",23.8532110091743,0.281393628043125,763
"THBS2","Mesenchyme","healthy",2.43142144638404,0.0277727957843969,1604
"THBS2","Plasma cell","cirrhotic",0,0,478
