"source","target","mor"
"ELF4","LUM",1
"TP53","LUM",1
"ETS1","THY1",1
"EOMES","THY1",1
"TBX18","THY1",1
"DLX5","THY1",1
"GATA6","THY1",1
"ID2","THY1",1
"POU5F1","THY1",1
"TBXT","THY1",1
"ZFP42","THY1",1
"PITX2","THBS2",1
"HR","THY1",1
"ESR1","THBS2",1
"MYB","THBS2",1
"HOXB7","THBS2",-1
"GLI2","LUM",-1
"FOSL1","THBS2",-1
"HOXA5","THBS2",1
"SMAD2","THBS2",1
"SMAD3","THBS2",1
"SMAD4","THBS2",1
