"TF","mean_activity_cirrhotic","mean_activity_healthy","activity_diff","pvalue","padj","regulates","regulates_fibrogenic_gene"
"CDX1",0.705652321526741,-0.800148127064771,1.50580044859151,0.00793650793650794,0.516754850088183,NA,FALSE
"EOMES",0.605017318426062,-0.821578864114903,1.42659618254097,0.00793650793650794,0.516754850088183,"THY1(1)",TRUE
"HESX1",-0.864370931664791,0.677631491973499,-1.54200242363829,0.00793650793650794,0.516754850088183,NA,FALSE
"NR2E3",0.820899026427208,-1.03037723125539,1.8512762576826,0.00793650793650794,0.516754850088183,NA,FALSE
"PAX7",1.00583607338234,-0.799232119391417,1.80506819277376,0.00793650793650794,0.516754850088183,NA,FALSE
"VHL",1.32334417021124,-1.26091032242378,2.58425449263502,0.00793650793650794,0.516754850088183,NA,FALSE
"ZBTB18",-0.794106401523177,1.1028064925406,-1.89691289406377,0.00793650793650794,0.516754850088183,NA,FALSE
"ZFP42",1.3965421516517,-2.07929821611169,3.47584036776339,0.00793650793650794,0.516754850088183,"THY1(1)",TRUE
"ZNF331",1.42048239986441,-1.18828325688229,2.60876565674671,0.00793650793650794,0.516754850088183,NA,FALSE
"BCL11B",1.00597739827114,-0.983980024542349,1.98995742281349,0.0158730158730159,0.531519274376417,NA,FALSE
"DLX2",-1.07980414173279,0.816394470266476,-1.89619861199926,0.0158730158730159,0.531519274376417,NA,FALSE
"HEY2",0.398548303024081,-0.371438398705658,0.76998670172974,0.0158730158730159,0.531519274376417,NA,FALSE
"POU1F1",-0.655317249173465,0.804946617274856,-1.46026386644832,0.0158730158730159,0.531519274376417,NA,FALSE
"SCX",1.35504758244635,-1.5662945225956,2.92134210504195,0.0158730158730159,0.531519274376417,NA,FALSE
"SMAD4",1.22666491478638,-1.19806511221441,2.42473002700079,0.0158730158730159,0.531519274376417,"THBS2(1)",TRUE
"TFAP2C",0.810575781341793,-0.652180842683442,1.46275662402524,0.0158730158730159,0.531519274376417,NA,FALSE
"CTCFL",-0.867987329982836,0.752222824855332,-1.62021015483817,0.0317460317460317,0.531519274376417,NA,FALSE
"E2F5",0.720725127433986,-0.745477616751881,1.46620274418587,0.0317460317460317,0.531519274376417,NA,FALSE
"ESRRA",-0.83031438023344,1.30846492868303,-2.13877930891647,0.0317460317460317,0.531519274376417,NA,FALSE
"FOXA2",0.498742915298959,-0.928599494600706,1.42734240989967,0.0317460317460317,0.531519274376417,NA,FALSE
"HDAC3",0.558823533439058,-0.599415883913764,1.15823941735282,0.0317460317460317,0.531519274376417,NA,FALSE
"HTATIP2",0.43612893284823,-0.518110119699909,0.954239052548139,0.0317460317460317,0.531519274376417,NA,FALSE
